n_timestep,batch_size,num_layer,hidden_size,seed,exp_index,result
50,16,2,64,72498724,2.02403E+13,0.903225806
50,16,2,64,21985287,2.02403E+13,0.903225806
50,16,2,64,28549854,2.02403E+13,0.919354839
50,16,2,64,12369870,2.02403E+13,0.888888889
50,16,2,64,32758467,2.02403E+13,0.879032258
50,16,2,64,45876586,2.02403E+13,0.913978495
50,16,2,64,63985481,2.02403E+13,0.897849462
50,16,2,64,91876365,2.02403E+13,0.913082437
50,16,2,64,88765498,2.02403E+13,0.892473118
